product_id,purchase_count
100003952,4
100003954,3
100003955,1
100003957,5
100003958,4
100003959,1
100003960,4
100003963,8
100003964,17
100003965,14
100003967,3
100003969,6
100003971,31
100003972,7
100003973,52
100003974,9
100003975,18
100003978,11
100003980,19
100003983,1
100003986,141
100003987,8
100003988,124
100003990,9
100003993,2
100003995,1
100003996,70
100003999,1
100004000,9
100004001,2
100004002,1
100004004,5
100004005,3
100004006,6
100004007,30
100004008,3
100004009,39
100004010,3
100004012,5
100004013,10
100004017,42
100004018,12
100004020,3
100004021,111
100004022,2
100004024,240
100004025,24
100004026,6
100004027,15
100004028,12
100004029,6
100004031,1
100004033,11
100004034,1
100004035,4
100004036,14
100004039,25
100004041,12
100004045,1
100004046,11
100004049,11
100004053,35
100004055,13
100004056,2
100004057,262
100004058,31
100004061,2
100004064,35
100004065,200
100004066,5
100004067,1
100004069,17
100004071,11
100004072,5
100004073,16
100004074,25
100004076,7
100004077,9
100004080,2
100004081,8
100004083,8
100004084,371
100004087,51
100004090,1
100004091,63
100004095,1
100004096,1
100004098,1
100004099,4
100004101,1
100004102,22
100004104,291
100004107,1
100004108,13
100004111,5
100004112,9
100004118,29
100004121,1
100004122,9
100004123,10
100004125,1
100004128,2
100004129,1
100004132,1
100004133,2
100004135,1
100004144,4
100004145,1
100004147,226
100004148,2
100004151,1
100004152,8
100004153,4
100004156,1
100004158,6
100004159,1
100004160,35
100004161,6
100004162,29
100004163,3
100004165,21
100004168,61
100004170,3
100004175,1
100004179,18
100004180,1
100004184,23
100004187,68
100004189,115
100004190,3
100004192,168
100004194,23
100004195,21
100004196,2
100004197,175
100004199,38
100004205,2
100004206,1
100004208,23
100004209,28
100004211,15
100004214,12
100004216,8
100004217,2
100004218,13
100004222,1
100004223,2
100004226,1
100004228,1
100004229,84
100004231,1
100004232,336
100004239,3
100004244,46
100004246,231
100004247,1
100004251,1
100004254,1
100004256,1
100004264,3
100004267,5
100004272,1
100004276,1
100004280,1
100004281,2
100004283,3
100004286,49
100004287,235
100004302,1
100004305,86
